Movie ID,Movie Title,Year,Director,Duration,Language,Country,Rating,Actor 1,Actor 2,Actor 3,Budget,Gross,Genre,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Number of Critics,Votes,IMDB Link,IMDB Score,Aspect Ratio,Color
1987,Superman Returns ,2006,Bryan Singer,169,English,USA,PG-13,Kevin Spacey,Marlon Brando,Frank Langella,US$209000000.00,US$200069408.00,Horror,Horror,,,,,434,240396,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,6.1,2.35,Color
2050,Quantum of Solace ,2008,Marc Forster,106,English,UK,PG-13,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,US$200000000.00,US$168368427.00,Adventure|Children|Comedy,Adventure,Children,Comedy,,,403,330784,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,6.7,2.35,Color
2088,Pirates of the Caribbean: Dead Man's Chest ,2006,Gore Verbinski,151,English,USA,PG-13,Johnny Depp,Orlando Bloom,Jack Davenport,US$225000000.00,US$423032628.00,Adventure|Comedy|Musical,Adventure,Comedy,Musical,,,313,522040,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,7.3,2.35,Color
2130,The Lone Ranger ,2013,Gore Verbinski,150,English,USA,PG-13,Johnny Depp,Ruth Wilson,Tom Wilkinson,US$215000000.00,US$89289910.00,Crime|Drama|Romance,Crime,Drama,Romance,,,450,181792,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,6.5,2.35,Color
2150,Man of Steel ,2013,Zack Snyder,143,English,USA,PG-13,Henry Cavill,Christopher Meloni,Harry Lennix,US$225000000.00,US$291021565.00,Adventure|Comedy,Adventure,Comedy,,,,733,548573,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,7.2,2.35,Color
2240,The Chronicles of Narnia: Prince Caspian ,2008,Andrew Adamson,150,English,USA,PG,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,US$225000000.00,US$141614023.00,Drama,Drama,,,,,258,149922,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,6.6,2.35,Color
2290,The Avengers ,2012,Joss Whedon,173,English,USA,PG-13,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,US$220000000.00,US$623279547.00,Comedy|Drama,Comedy,Drama,,,,703,995415,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,8.1,1.85,Color
2313,The Avengers ,2012,Joss Whedon,173,English,USA,PG-13,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,US$220000000.00,US$623279547.00,Drama,Drama,,,,,703,995415,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,8.1,1.85,Color
2525,Pirates of the Caribbean: On Stranger Tides ,2011,Rob Marshall,136,English,USA,PG-13,Johnny Depp,Sam Claflin,Stephen Graham,US$250000000.00,US$241063875.00,Action|Horror|Sci-Fi,Action,Horror,Sci-Fi,,,448,370704,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,6.7,2.35,Color
2641,Men in Black 3,2012,Barry Sonnenfeld,106,English,USA,PG-13,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,US$225000000.00,US$179020854.00,Action|Sci-Fi,Action,Sci-Fi,,,,451,268154,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,6.8,1.85,Color
2791,The Hobbit: The Battle of the Five Armies ,2014,Peter Jackson,164,English,New Zealand,PG-13,Aidan Turner,Adam Brown,James Nesbitt,US$250000000.00,US$255108370.00,Comedy,Comedy,,,,,422,354228,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,7.5,2.35,Color
2851,The Amazing Spider-Man ,2012,Marc Webb,153,English,USA,PG-13,Emma Stone,Andrew Garfield,Chris Zylka,US$230000000.00,US$262030663.00,Adventure|Sci-Fi|Thriller,Adventure,Sci-Fi,Thriller,,,599,451803,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,7,2.35,Color
2950,Robin Hood ,2010,Ridley Scott,156,English,USA,PG-13,Mark Addy,William Hurt,Scott Grimes,US$200000000.00,US$105219735.00,Adventure|Drama|Romance,Adventure,Drama,Romance,,,343,211765,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,6.7,2.35,Color
2988,The Hobbit: The Desolation of Smaug ,2013,Peter Jackson,186,English,USA,PG-13,Aidan Turner,Adam Brown,James Nesbitt,US$225000000.00,US$258355354.00,Drama,Drama,,,,,509,483540,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,7.9,2.35,Color
3091,The Golden Compass ,2007,Chris Weitz,113,English,USA,PG-13,Christopher Lee,Eva Green,Kristin Scott Thomas,US$180000000.00,US$70083519.00,Drama|War,Drama,War,,,,251,149019,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,6.1,2.35,Color
3137,King Kong ,2005,Peter Jackson,201,English,New Zealand,PG-13,Naomi Watts,Thomas Kretschmann,Evan Parke,US$207000000.00,US$218051260.00,Action|War,Action,War,,,,446,316018,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,7.2,2.35,Color
3235,King Kong ,2005,Peter Jackson,201,English,New Zealand,PG-13,Naomi Watts,Thomas Kretschmann,Evan Parke,US$207000000.00,US$218051260.00,Comedy,Comedy,,,,,446,316020,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,7.2,2.35,Color
3403,Titanic ,1997,James Cameron,194,English,USA,PG-13,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,US$200000000.00,US$658672302.00,Drama|Thriller,Drama,Thriller,,,,315,793059,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,7.7,2.35,Color
3552,Captain America: Civil War ,2016,Anthony Russo,147,English,USA,PG-13,Robert Downey Jr.,Scarlett Johansson,Chris Evans,US$250000000.00,US$407197282.00,Comedy,Comedy,,,,,516,272670,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,8.2,2.35,Color
3587,Battleship ,2012,Peter Berg,131,English,USA,PG-13,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,US$209000000.00,US$65173160.00,Horror,Horror,,,,,377,202382,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,5.9,2.35,Color
3619,Jurassic World ,2015,Colin Trevorrow,124,English,USA,PG-13,Bryce Dallas Howard,Judy Greer,Omar Sy,US$150000000.00,US$652177271.00,Comedy,Comedy,,,,,644,418214,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,7,2,Color
3649,Skyfall ,2012,Sam Mendes,143,English,UK,PG-13,Albert Finney,Helen McCrory,Rory Kinnear,US$200000000.00,US$304360277.00,Drama,Drama,,,,,750,522030,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,7.8,2.35,Color
3652,Skyfall ,2012,Sam Mendes,143,English,UK,PG-13,Albert Finney,Helen McCrory,Rory Kinnear,US$200000000.00,US$304360277.00,Horror,Horror,,,,,750,522048,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,7.8,2.35,Color
3811,Spider-Man 2,2004,Sam Raimi,135,English,USA,PG-13,J.K. Simmons,James Franco,Kirsten Dunst,US$200000000.00,US$373377893.00,Drama|War,Drama,War,,,,300,411164,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,7.3,2.35,Color
3834,Iron Man 3,2013,Shane Black,195,English,USA,PG-13,Robert Downey Jr.,Jon Favreau,Don Cheadle,US$200000000.00,US$408992272.00,Adventure|Drama|Romance,Adventure,Drama,Romance,,,608,557489,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,7.2,2.35,Color
4289,Alice in Wonderland ,2010,Tim Burton,108,English,USA,PG,Johnny Depp,Alan Rickman,Anne Hathaway,US$200000000.00,US$334185206.00,Comedy|Drama,Comedy,Drama,,,,451,306320,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,6.5,1.85,Color
4291,Alice in Wonderland ,2010,Tim Burton,108,English,USA,PG,Johnny Depp,Alan Rickman,Anne Hathaway,US$200000000.00,US$334185206.00,Comedy|Crime,Comedy,Crime,,,,451,306336,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,6.5,1.85,Color
4713,X-Men: The Last Stand ,2006,Brett Ratner,104,English,Canada,PG-13,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,US$210000000.00,US$234360014.00,Drama|Sci-Fi,Drama,Sci-Fi,,,,334,383427,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,6.8,2.35,Color
4714,Monsters University ,2013,Dan Scanlon,104,English,USA,G,Steve Buscemi,Tyler Labine,Sean Hayes,US$200000000.00,US$268488329.00,Comedy,Comedy,,,,,376,235025,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,7.3,1.85,Color
4715,Transformers: Revenge of the Fallen ,2009,Michael Bay,150,English,USA,PG-13,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,US$200000000.00,US$402076689.00,Horror,Horror,,,,,366,323207,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,6,2.35,Color
4751,Transformers: Age of Extinction ,2014,Michael Bay,165,English,USA,PG-13,Bingbing Li,Sophia Myles,Kelsey Grammer,US$210000000.00,US$245428137.00,Action|Thriller,Action,Thriller,,,,378,242420,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,5.7,2.35,Color
4752,Oz the Great and Powerful ,2013,Sam Raimi,130,English,USA,PG,Tim Holmes,Mila Kunis,James Franco,US$215000000.00,US$234903076.00,Horror,Horror,,,,,525,175409,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,6.4,2.35,Color
4826,The Amazing Spider-Man 2,2014,Marc Webb,142,English,USA,PG-13,Emma Stone,Andrew Garfield,B.J. Novak,US$200000000.00,US$202853933.00,Action|Adventure|Drama|War,Action,Adventure,Drama,War,,495,321227,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,6.7,2.35,Color
4827,TRON: Legacy ,2010,Joseph Kosinski,125,English,USA,PG,Jeff Bridges,Olivia Wilde,James Frain,US$170000000.00,US$172051787.00,Horror,Horror,,,,,469,264183,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,6.8,2.35,Color
4828,TRON: Legacy ,2010,Joseph Kosinski,125,English,USA,PG,Jeff Bridges,Olivia Wilde,James Frain,US$170000000.00,US$172051787.00,Comedy|Romance,Comedy,Romance,,,,469,264186,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,6.8,2.35,Color
4830,Cars 2,2011,John Lasseter,106,English,USA,G,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,US$200000000.00,US$191450875.00,Crime|Drama,Crime,Drama,,,,304,101178,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,6.3,2.35,Color
4831,Green Lantern ,2011,Martin Campbell,123,English,USA,PG-13,Ryan Reynolds,Temuera Morrison,Taika Waititi,US$200000000.00,US$116593191.00,Comedy|Musical,Comedy,Musical,,,,436,223393,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,5.6,2.35,Color
4832,Toy Story 3,2010,Lee Unkrich,103,English,USA,G,Tom Hanks,John Ratzenberger,Don Rickles,US$200000000.00,US$414984497.00,Drama,Drama,,,,,453,544884,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,8.3,1.85,Color
4833,Terminator Salvation ,2009,McG,118,English,USA,PG-13,Christian Bale,Bryce Dallas Howard,Common,US$200000000.00,US$125320003.00,Horror|Mystery|Thriller,Horror,Mystery,Thriller,,,422,286095,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,6.6,2.35,Color
4834,Furious 7,2015,James Wan,140,English,USA,PG-13,Jason Statham,Paul Walker,Vin Diesel,US$190000000.00,US$350034110.00,Comedy,Comedy,,,,,424,278232,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,7.2,2.35,Color
4835,World War Z ,2013,Marc Forster,123,English,USA,PG-13,Peter Capaldi,Brad Pitt,Mireille Enos,US$190000000.00,US$202351611.00,Drama,Drama,,,,,654,465019,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,7,2.35,Color
4836,X-Men: Days of Future Past ,2014,Bryan Singer,149,English,USA,PG-13,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,US$200000000.00,US$233914986.00,Drama|Romance,Drama,Romance,,,,539,514125,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,8,2.35,Color
4837,Star Trek Into Darkness ,2013,J.J. Abrams,132,English,USA,PG-13,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,US$190000000.00,US$228756232.00,Crime|Drama|Thriller,Crime,Drama,Thriller,,,590,395573,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,7.8,2.35,Color
4838,Jack the Giant Slayer ,2013,Bryan Singer,114,English,USA,PG-13,Eddie Marsan,Ewen Bremner,Ralph Brown,US$195000000.00,US$65171860.00,Documentary,Documentary,,,,,338,106416,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,6.3,2.35,Color
4839,The Great Gatsby ,2013,Baz Luhrmann,143,English,Australia,PG-13,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,US$105000000.00,US$144812796.00,Horror,Horror,,,,,490,362912,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,7.3,2.35,Color
4840,The Great Gatsby ,2013,Baz Luhrmann,143,English,Australia,PG-13,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,US$105000000.00,US$144812796.00,Drama|Romance,Drama,Romance,,,,490,362933,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,7.3,2.35,Color
4842,Prince of Persia: The Sands of Time ,2010,Mike Newell,116,English,USA,PG-13,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,US$200000000.00,US$90755643.00,Drama|War,Drama,War,,,,306,222403,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,6.6,2.35,Color
4931,Pacific Rim ,2013,Guillermo del Toro,131,English,USA,PG-13,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,US$190000000.00,US$101785482.00,Horror,Horror,,,,,575,381148,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,7,1.85,Color
4932,Transformers: Dark of the Moon ,2011,Michael Bay,154,English,USA,PG-13,Glenn Morshower,Lester Speight,Kevin Dunn,US$195000000.00,US$352358779.00,Mystery|Thriller,Mystery,Thriller,,,,428,326180,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,6.3,2.35,Color
4934,Indiana Jones and the Kingdom of the Crystal Skull ,2008,Steven Spielberg,122,English,USA,PG-13,Harrison Ford,Ray Winstone,Jim Broadbent,US$185000000.00,US$317011114.00,Action|Crime|Thriller|War,Action,Crime,Thriller,War,,470,333847,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,6.2,2.35,Color
4936,The Good Dinosaur ,2015,Peter Sohn,93,English,USA,PG,A.J. Buckley,Jack McGraw,Peter Sohn,US$175000000.00,US$123070338.00,Drama|Musical,Drama,Musical,,,,298,62836,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,6.8,2.35,Color
4937,Brave ,2012,Mark Andrews,93,English,USA,PG,Kelly Macdonald,John Ratzenberger,Julie Walters,US$185000000.00,US$237282182.00,Comedy,Comedy,,,,,488,273556,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,7.2,2.35,Color
4939,Star Trek Beyond ,2016,Justin Lin,122,English,USA,PG-13,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,US$185000000.00,US$130468626.00,Action|Sci-Fi,Action,Sci-Fi,,,,322,53607,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,7.5,2.35,Color
4941,WALL·E ,2008,Andrew Stanton,98,English,USA,G,John Ratzenberger,Fred Willard,Jeff Garlin,US$180000000.00,US$223806889.00,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,421,718837,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,8.4,2.35,Color
4956,Rush Hour 3,2007,Brett Ratner,91,English,USA,PG-13,Tzi Ma,Dana Ivey,Noémie Lenoir,US$140000000.00,US$140080850.00,Action|Adventure|Comedy|Drama|Romance|Thriller,Action,Adventure,Comedy,Drama,Romance,162,121084,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,6.2,2.35,Color
5044,2012,2009,Roland Emmerich,158,English,USA,PG-13,Oliver Platt,Liam James,Tom McCarthy,US$200000000.00,US$166112167.00,Drama,Drama,,,,,367,283418,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,5.8,2.35,Color
5125,A Christmas Carol ,2009,Robert Zemeckis,96,English,USA,PG,Robin Wright,Colin Firth,Gary Oldman,US$200000000.00,US$137850096.00,Comedy,Comedy,,,,,240,72809,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,6.8,2.35,Color
5179,Jupiter Ascending ,2015,Lana Wachowski,127,English,USA,PG-13,Channing Tatum,Mila Kunis,Eddie Redmayne,US$176000000.00,US$47375327.00,Drama|Thriller,Drama,Thriller,,,,384,139593,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,5.4,2.35,Color
5180,The Legend of Tarzan ,2016,David Yates,110,English,USA,PG-13,Christoph Waltz,Alexander Skarsgård,Casper Crump,US$180000000.00,US$124051759.00,Documentary,Documentary,,,,,248,42372,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,6.6,2.35,Color
5183,The Legend of Tarzan ,2016,David Yates,110,English,USA,PG-13,Christoph Waltz,Alexander Skarsgård,Casper Crump,US$180000000.00,US$124051759.00,Horror|Thriller,Horror,Thriller,,,,248,42372,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,6.6,2.35,Color
5184,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,Andrew Adamson,150,English,USA,PG,Jim Broadbent,Kiran Shah,Shane Rangi,US$180000000.00,US$291709845.00,Western,Western,,,,,284,286506,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,6.9,2.35,Color
5186,X-Men: Apocalypse ,2016,Bryan Singer,144,English,USA,PG-13,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,US$178000000.00,US$154985087.00,Drama|Romance,Drama,Romance,,,,396,148379,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,7.3,2.35,Color
5187,The Dark Knight ,2008,Christopher Nolan,152,English,USA,PG-13,Christian Bale,Heath Ledger,Morgan Freeman,US$185000000.00,US$533316061.00,Comedy,Comedy,,,,,645,1676169,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,9,2.35,Color
5189,Up ,2009,Pete Docter,96,English,USA,PG,John Ratzenberger,Delroy Lindo,Jess Harnell,US$175000000.00,US$292979556.00,Horror|Sci-Fi,Horror,Sci-Fi,,,,408,665575,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,8.3,1.85,Color
5192,Monsters vs. Aliens ,2009,Rob Letterman,94,English,USA,PG,Amy Poehler,Rainn Wilson,Stephen Colbert,US$175000000.00,US$198332128.00,Adventure|Horror|Thriller,Adventure,Horror,Thriller,,,219,114553,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,6.5,2.35,Color
5196,Iron Man ,2008,Jon Favreau,126,English,USA,PG-13,Robert Downey Jr.,Jeff Bridges,Jon Favreau,US$140000000.00,US$318298180.00,War,War,,,,,486,696338,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,7.9,2.35,Color
5197,Hugo ,2011,Martin Scorsese,126,English,USA,PG,Chloë Grace Moretz,Christopher Lee,Ray Winstone,US$170000000.00,US$73820094.00,Drama,Drama,,,,,682,245333,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,7.5,1.85,Color
5198,Wild Wild West ,1999,Barry Sonnenfeld,106,English,USA,PG-13,Will Smith,Salma Hayek,Bai Ling,US$170000000.00,US$113745408.00,Drama|Thriller,Drama,Thriller,,,,85,129601,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,4.8,1.85,Color
5199,The Mummy: Tomb of the Dragon Emperor ,2008,Rob Cohen,112,English,USA,PG-13,Jet Li,Brendan Fraser,Russell Wong,US$145000000.00,US$102176165.00,Western,Western,,,,,264,117927,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,5.2,2.35,Color
5200,Suicide Squad ,2016,David Ayer,123,English,USA,PG-13,Will Smith,Robin Atkin Downes,Ike Barinholtz,US$175000000.00,US$161087183.00,Documentary,Documentary,,,,,418,118992,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,6.9,2.35,Color
5201,Evan Almighty ,2007,Tom Shadyac,96,English,USA,PG,Jimmy Bennett,Morgan Freeman,Steve Carell,US$175000000.00,US$100289690.00,Adventure|Horror,Adventure,Horror,,,,186,115099,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,5.4,2.35,Color
5205,Edge of Tomorrow ,2014,Doug Liman,113,English,USA,PG-13,Tom Cruise,Lara Pulver,Noah Taylor,US$178000000.00,US$100189501.00,Comedy|Horror,Comedy,Horror,,,,585,431620,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,7.9,2.35,Color
5206,Waterworld ,1995,Kevin Reynolds,176,English,USA,PG-13,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,US$175000000.00,US$88246220.00,Comedy|Horror,Comedy,Horror,,,,91,144337,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,6.1,1.85,Color
5207,G.I. Joe: The Rise of Cobra ,2009,Stephen Sommers,118,English,USA,PG-13,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,US$175000000.00,US$150167630.00,Adventure|Western,Adventure,Western,,,,250,174578,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,5.8,2.35,Color
5213,Inside Out ,2015,Pete Docter,95,English,USA,PG,Amy Poehler,Mindy Kaling,Phyllis Smith,US$175000000.00,US$356454367.00,Comedy,Comedy,,,,,536,345198,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,8.3,1.85,Color
5238,The Jungle Book ,2016,Jon Favreau,106,English,UK,PG,Scarlett Johansson,Bill Murray,Garry Shandling,US$175000000.00,US$362645141.00,Drama,Drama,,,,,370,106072,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,7.8,1.85,Color
5244,The Jungle Book ,2016,Jon Favreau,106,English,UK,PG,Scarlett Johansson,Bill Murray,Garry Shandling,US$175000000.00,US$362645141.00,Action|Adventure,Action,Adventure,,,,370,106221,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,7.8,1.85,Color
5246,Iron Man 2,2010,Jon Favreau,124,English,USA,PG-13,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,US$200000000.00,US$312057433.00,Action|Comedy,Action,Comedy,,,,453,522371,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,7,2.35,Color
5249,Snow White and the Huntsman ,2012,Rupert Sanders,132,English,USA,PG-13,Chris Hemsworth,Kristen Stewart,Sam Claflin,US$170000000.00,US$155111815.00,Comedy|Drama,Comedy,Drama,,,,416,228554,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,6.1,2.35,Color
5250,Maleficent ,2014,Robert Stromberg,97,English,USA,PG,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,US$180000000.00,US$241407328.00,Comedy,Comedy,,,,,401,252257,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,7,2.35,Color
5311,Dawn of the Planet of the Apes ,2014,Matt Reeves,130,English,USA,PG-13,Gary Oldman,Judy Greer,Kodi Smit-McPhee,US$170000000.00,US$208543795.00,Children|Horror|Mystery|Thriller,Children,Horror,Mystery,Thriller,,521,317542,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,7.6,1.85,Color
5413,The Lovers ,2015,Roland Joffé,109,English,Belgium,R,Tamsin Egerton,Alice Englert,Bipasha Basu,US$27000000.00,US$2100000.00,Horror,Horror,,,,,10,2138,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,4.5,2.35,Color
5696,47 Ronin,2013,Carl Rinsch,128,English,USA,PG-13,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,US$175000000.00,US$38297305.00,Drama,Drama,,,,,218,116994,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,6.3,2.35,Color
